iyear,imonth,iday,provstate,city,latitude,longitude,summary,attacktype1_txt,targtype1_txt,corp1,target1,natlty1_txt,gname,weapsubtype1_txt,nkill,nwound
2008,6,29,North-West Frontier Province,Hangu,33.533541,71.057467,"06/29/2008: On Sunday evening, in Khafyanga, Hangu, North-West Frontier, Pakistan, armed assailants kidnapped eight civilians. The perpetrators later fired on and killed seven of the victims and beheaded one other. No group claimed responsibility.",Hostage Taking (Kidnapping),Private Citizens & Property,,The target was civilians.,Pakistan,Unknown,Unknown Gun Type,8,0
2008,7,6,Islamabad Capital Territory,Islamabad,33.708988,73.053857,"07/06/2008:  On Sunday evening, around 1930, in Islamabad, Islamabad, Pakistan, in front of a police station, a suicide bomber approached a crowd of police officers and civilians and detonated the improvised explosive device strapped to his body, killing 15 police officers, four civilians, injuring 24 police officers, 16 civilians, and damaging the police station. No motive was reported and no group claimed responsibility.",Bombing/Explosion,Police,Islamabad Law Enforcement,A police station,Pakistan,Unknown,Suicide (carried bodily by human being),20,40
2008,8,2,North-West Frontier Province,Hazara,34.800828,72.297569,"08/02/2008: On Saturday, in Hazara, Swat, North West Frontier, Pakistan, assailants detonated a remote-controlled bomb targeting a vehicle carrying security staff, killing six security personnel, including one police chief, injuring two others, and damaging the vehicle. No group claimed responsibility, but pro-Taliban militants are believed to be responsible.",Bombing/Explosion,Police,,A vehicle carrying security personnel and a police chief,Pakistan,Tehrik-i-Taliban Pakistan (TTP),Other Explosive Type,6,2
2008,8,13,Punjab,Lahore,31.554606,74.357158,"08/13/2008: On Wednesday night at 2334, in Allama Iqbal Town, Lahore, Punjab, Pakistan, at a crowded city square, a suicide bomber detonated the improvised explosive device strapped to his body, killing eight civilians and two police officers; injuring 21 officers and 19 civilians; and damaging a mosque, several buildings and several vehicles. No motive was reported and no group claimed responsibility, although it was widely believed the Taliban was responsible.",Bombing/Explosion,Private Citizens & Property,,Civilians in the city square,Pakistan,Tehrik-i-Taliban Pakistan (TTP),Suicide (carried bodily by human being),11,40
2008,8,14,Punjab,Lahore,31.554606,74.357158,"08/14/2008: On Thursday, at 2334, nine people were killed and 33 were injured when a suicide bomber blew himself up outside a police station near Moon Market in Allama Iqbal Town neighborhood in Lahore, Punjab, Pakistan. No group claimed responsibility for the attack. Most of those injured were policemen.",Bombing/Explosion,Police,,Police,Pakistan,Unknown,Suicide (carried bodily by human being),9,33
2008,8,19,North-West Frontier Province,Dera Ismail Khan,31.82851,70.907234,"08/19/2008: On Tuesday, 27 people were killed and 30 were injured when a suicide bomber blew himself up at a hospital in Dera Ismail Khan, North West Frontier, Pakistan. The Tehrik-e-Taliban Pakistan claimed responsibility for the blast. The attack was in retaliation for the government's actions in Bajaur.",Bombing/Explosion,Business,,Civilians,Pakistan,Tehrik-i-Taliban Pakistan (TTP),Suicide (carried bodily by human being),28,30
2008,8,21,Islamabad Capital Territory,Islamabad,33.708988,73.053857,"08/21/2008: On Thursday, at 1430, two Tehrik-e-Taliban Pakistan suicide bombers attacked a weapons manufacturing complex, the Pakistan Ordnance Factory, in the town of Wah near Islamabad, Punjab, Pakistan. The attack killed 62 people and injured over 100 more. The attack was in response to the military operation in Bajaur that has been attacking Taliban militants. A third bomber was detained near the ordnance factory.",Bombing/Explosion,Business,Pakistan Ordnance Factory,A weapons manufacturing complex,Pakistan,Tehrik-i-Taliban Pakistan (TTP),Suicide (carried bodily by human being),64,100
2008,8,25,Balochistan,Mach,29.866252,67.329963,"08/25/2008: On Monday evening, at 2000, in Machh, Balochistan, Pakistan, assailants fired 30 rockets at a prison, killing three children and four government employees. One government employee, and 13 people were injured, and damaging the prison and residences. No motive was reported and the Balochistan Liberation Army claimed responsibility.",Bombing/Explosion,Police,,A prison,Pakistan,Baloch Liberation Army (BLA),"Projectile (rockets, mortars, RPGs, etc.)",7,14
2008,8,25,North-West Frontier Province,Dheri,34.398573,72.06038,"08/25/2008: On Monday morning at 0800 in Shah Dheri, North-West Frontier, Pakistan, armed assailants fired rockets and small arms at the residence of a brother of a ruling party former, killing eight people, including the politician's brother, wounding one civilian, and damaging the home. No motive was reported and the Tehrik-i-Taliban Pakistan claimed responsibility.",Bombing/Explosion,Private Citizens & Property,,The residence of a brother of a ruling party former,Pakistan,Tehrik-i-Taliban Pakistan (TTP),"Projectile (rockets, mortars, RPGs, etc.)",8,1
2008,8,26,Islamabad Capital Territory,Islamabad,33.708988,73.053857,"08/26/2008: On Tuesday night, at 2215, in the Model Town area, near Islamabad, Pakistan, assailants detonated an improvised explosive device near a hotel restaurant, killing eight civilians, wounding 20 others, damaging the hotel and one taxi cab. No motive was reported and no group claimed responsibility.",Bombing/Explosion,Business,,The hotel,Pakistan,Unknown,Other Explosive Type,8,20
2008,8,0,Sindh,Karachi,24.893379,67.028061,"08/26/2008: On Tuesday, in Karachi, Sindh, Pakistan, assailants kidnapped a police informant. On 10/26/2008, in Swat, the kidnapped police informant and six of his family members were beheaded. No damage was reported and no group claimed responsibility, although it was widely believed the Jundullah was responsible.",Hostage Taking (Kidnapping),Private Citizens & Property,,A police informant,Pakistan,Jundallah (Pakistan),Knife or Other Sharp Object,7,0
2008,9,10,North-West Frontier Province,Dir,35.202293,71.873006,"09/10/2008: On Wednesday, in the evening, suspected militants fired small arms and threw hand grenades at a mosque in the Miskene area of Dir, North West Frontier, Pakistan. Twenty five people were killed, 50 were wounded, and damage was done to the mosque in the attack. No group claimed responsibility.",Bombing/Explosion,Religious Figures/Institutions,,A mosque,Pakistan,Unknown,Unknown Gun Type,25,50
2008,9,20,Islamabad Capital Territory,Islamabad,33.708988,73.053857,"09/20/2008: On Saturday, at an unknown time, a suicide bomber detonated an explosive-filled truck into the gates of the Marriott Hotel in Islamabad, Pakistan, killing 60 and injuring more than 200.",Bombing/Explosion,Business,,"The Marriott Hotel in Islamabad, Pakistan.",Pakistan,Unknown,Vehicle,61,200
2008,10,23,Federally Administered Tribal Areas,Orakzai district,33.697271,71.144852,"10/23/2008: On Thursday, suspected Taliban militants killed eight pro-government tribesmen in an ambush in Orakzai, Federally Administered Tribal Areas, Pakistan. The gunmen stopped their vehicle, ordered the tribesmen out and shot them dead one by one. No claim of responsibility was made for the incident.",Armed Assault,Private Citizens & Property,,Pro-government tribesmen,Pakistan,Tehrik-i-Taliban Pakistan (TTP),Unknown Gun Type,8,0
2008,10,26,North-West Frontier Province,Sambat,34.940464,72.427831,"10/26/2008: On Sunday, three civilians and two militants were killed after suspected pro-Taliban militants attacked a barber's shop in the Sambat area of Swat, North West Frontier, Pakistan. Two other militants were injured in the attack. No claim of responsibility was made for the incident.",Unknown,Business,,A barber's shop,Pakistan,Tehrik-i-Taliban Pakistan (TTP),,5,0
2008,10,26,North-West Frontier Province,Swat district,35.079406,72.428758,"10/26/2008: On Sunday, 20 militants, six militiamen and four bystanders were killed when Taliban militants attempted to abducted a tribal militia leader in Swat, North West Frontier, Pakistan. One of the militiamen was beheaded in the attack. The Taliban claimed responsibility for the attack and stated the attack ""was a lesson for anyone who tried to oppose them.""",Armed Assault,Private Citizens & Property,,Civilians,Pakistan,Tehrik-i-Taliban Pakistan (TTP),Knife or Other Sharp Object,30,0
2008,10,26,North-West Frontier Province,Swat district,35.079406,72.428758,"10/26/2008: On Sunday, a police informer and six of his family members were beheaded by suspected pro-Taliban militants in Shah Latif Town in Swat, North West Frontier, Pakistan. No claim of responsibility was made for the incident.",Armed Assault,Private Citizens & Property,,A civilian police informant,Pakistan,Tehrik-i-Taliban Pakistan (TTP),Knife or Other Sharp Object,7,0
2008,10,31,North-West Frontier Province,Mardan,34.195475,72.047455,"10/31/2008: On Friday, a suicide bomber attacked the convoy of a regional police chief in Mardan city, Northwest Frontier Province, Pakistan killing three police and wounding 22 others. The attacker was on foot and hit the first vehicle of the convoy as it emerged from the police chief's residence. No group claimed responsibility.",Bombing/Explosion,Police,Northwest Frontier Province Law Enforcement,The target was the regional police chief's convoy.,Pakistan,Unknown,Suicide (carried bodily by human being),9,22
2008,11,3,North-West Frontier Province,,34.95262,72.331113,"11/03/2008: On Monday, in an unspecified location within the tribal regions of North-West Frontier, Pakistan, assailants hanged one Afghan and four Pakistani civilians for allegedly spying for United States forces. The victims were identified as Muhibullah from Afghanistan, and Younus, Barmal Khan, Jamal and Munir who were residents of Pakistan. The Taliban claimed responsibility. Qari Zainul Abedin, introducing himself as spokesman for Pakistani militants in the tribal region told Pajhwok Afghan News over telephone from an undisclosed location that the suspects were hanged based on a decree of Baitullah Masaud, head of Tehreek-e-Taliban Pakistan (TTP). The militants accused the suspects of spying for US soldiers when al-Qaeda commander Abu Lais Al-Libi was killed during a US drone attack along with some other foreign militants in the South Waziristan on January 29th. According to Abedin, the decree of their hanging was released after lengthy investigation by Taliban fighters.",Unarmed Assault,Private Citizens & Property,,Pakistani civilians,Pakistan,Tehrik-i-Taliban Pakistan (TTP),Rope or Other Strangling Device,5,0
2008,11,6,Federally Administered Tribal Areas,Bajaur district,34.733076,71.492391,"11/06/2008: On Thursday, 17 people were killed and 51 injured when a suicide attacker blew himself up as a government-backed tribal force or ""lashkar"" met in Batmalai village of Salarza, about 40 kilometres (25 miles) from Khar, the main town of Bajaur district, Pakistan. The meeting place was damaged. Some of the killed were identified as Maj (r) Fazal Karim, chief of Salarzai tribe lashkar, Abdul Rehman Khan, Khan Bachai, Malik Shamsur Rehman, Malik Nazir, Zakir Khan and Darwesh Khan.  The local officials informed that all the injured were shifted to Agency Headquarter Hospital while over a dozen, critically wounded, have been shifted to Peshawar via helicopters.  Akhunzada Chattan, MNA from Bajaur Agency, when contacted, confirmed the incident. The Salarzai tribesmen were preparing to stage an assault on local militant hide-outs when the blast occurred, said Iqbal Khattak, a government official. Malik Rahimullah, a tribal elder, said the bomb exploded as soon as armed contingents began to move. Spokesman for the Tehrik-i-Taliban Pakistan (TTP), Abdul Rehman, called an Associated Press reporter and other local journalists claiming responsibility.",Assassination,Private Citizens & Property,Sasarzai Lashkar,A Salarzai tribal meeting,Pakistan,Tehrik-i-Taliban Pakistan (TTP),Suicide (carried bodily by human being),18,45
2008,11,17,Federally Administered Tribal Areas,Bajaur district,34.856902,71.429936,"11/17/2008: On Monday late in the day,Taliban fighters intercepted a vehicle transporting tribal leaders but were forced to retreat when fired upon by the vehicle passengers. The Taliban then fired on and threw grenades at the tribal leaders taking refuge. Taliban fighters surrounded a group of elders from the Mamund tribe in a fort-like compound in the village of Inayat Kili in Bajaur agency of Federally Adminstered Tribal Areas, Pakistan. A Taliban commander and two of the compound's guards were killed in the gunbattle. As the gunbattle occurred, an explosion also hit the compound killing four tribal leaders. The Taliban then kidnapped seven tribal leaders. Three of them escaped from captivity on 11/18/2008, and two more escaped the following day on 11/19/2008. The status of the remaining two hostages is unknown.",Assassination,Government (General),,The target were a group of elders from the Mamund tribe.,Pakistan,Tehrik-i-Taliban Pakistan (TTP),Grenade,9,0
2008,11,19,Federally Administered Tribal Areas,Bajaur district,34.856902,71.429936,"11/19/2008: On Wednesday, a suicide bomber attacked a mosque where government-backed anti-militant tribesman were praying in the Mamond Tehsil area of Bajaur, Federally Administered Tribal Areas, Pakistan. Eight members of the group were killed, including the leader of the group, and six others were wounded. No one claimed responsibility for the incident.",Bombing/Explosion,Religious Figures/Institutions,,Anti-militant tribesmen at a mosque,Pakistan,Unknown,Suicide (carried bodily by human being),9,6
2008,11,20,Federally Administered Tribal Areas,Bajaur district,34.856902,71.429936,"11/20/2008: On Thursday, a suicide bomber entered a mosque and detonated his device killing the chief of a tribal Lashkar and eight other people in the Mamoond area of Bajaur, Federally Administered Tribal Areas, Pakistan. Four other people were wounded in the explosion. No group has claimed responsibility for the attack.",Assassination,Religious Figures/Institutions,,A mosque,Pakistan,Unknown,Suicide (carried bodily by human being),10,4
2008,11,21,North-West Frontier Province,Dera Ismail Khan,31.82851,70.907234,"11/21/2008: On Friday morning at 1100, a remote-controlled bomb exploded at a funeral procession of a Shia cleric in Dera Ismail Khan in the Northwest Frontier Province of Pakistan. Ten people were killed and approximately 40 were wounded in the blast which took place on Bannu Road at the procession was headed for the Kotli Imam Graveyard.  No group claimed responsibility for the attack.",Bombing/Explosion,Private Citizens & Property,,A Shia funeral procession,Pakistan,Unknown,Remote Trigger,10,40
2008,11,22,North-West Frontier Province,Hangu,33.533541,71.057467,"11/22/2008: On Saturday afternoon around 1600,  five civilians were killed and seven others were wounded after an improvised explosive device was detonated inside a mosque during prayers in the Tull sub-division of Hangu district in Pakistan's North West Frontier Province. The blast caused the roof of the building to collapse, trapping many worshippers under rubble. No one claimed responsibility for the incident.",Bombing/Explosion,Religious Figures/Institutions,,A mosque,Pakistan,Unknown,Other Explosive Type,5,7
2008,11,27,Federally Administered Tribal Areas,Wana,32.304722,69.570278,"11/27/2008: On Thursday, a roadside bomb attack killed five civilians and wounded two others in the Khaisor area of Wana in South Waziristan in Pakistan's Federally Administered Tribal Areas (FATA). No group claimed responsibility.",Bombing/Explosion,Unknown,,A civilian jeep,Pakistan,Unknown,Unknown Explosive Type,5,2
2008,12,5,North-West Frontier Province,Peshawar,34.009667,71.579994,"12/05/2008: On Friday, 27 people were killed and over 50 were wounded when a bomb, containing 25 to 30 kilograms of explosives, planted in a van exploded at the Kabari bazaar in Peshawar, North West Frontier, Pakistan. Nearby buildings and shops, including a mosque and a hotel, caught fire and their windows were blown out in the explosion. Over 50 vehicles were destroyed in the attack as well. The blast caused a natural gas pipeline to explode, which caused many of the buildings to catch on fire. No group claimed responsibility for the attack.",Bombing/Explosion,Private Citizens & Property,,The Kabari bazaar,Pakistan,Unknown,Vehicle,27,50
2008,12,6,North-West Frontier Province,Marghazar,34.667708,72.343515,"12/06/2008: On Saturday, in Murghuzar, Saidu, North-West Frontier, Pakistan, armed assailants fired on and killed six civilians whom they accused of engaging in immoral activities. No group claimed responsibility.",Armed Assault,Private Citizens & Property,,Civilians,Pakistan,Unknown,Unknown Gun Type,6,0
2008,12,13,North-West Frontier Province,Khwazakhela,34.935829,72.469165,"12/13/2008: On Saturday, five civilians were killed when a car hit a landmine in Jano area of Khawazakhela tehsil, Bajaur agency, Pakistan. There were no claims of responsibility. There was no reported damage.",Bombing/Explosion,Private Citizens & Property,,A civilian car,Pakistan,Unknown,Land Mine,5,0
2008,12,13,North-West Frontier Province,Swat district,35.079406,72.428758,"12/13/2008: On Saturday, in Swat, North-West Frontier, Pakistan, assailants fired on an anti-Taliban cleric and his followers, killing eight civilians, the cleric, wounding several civilians, and kidnapping 25 civilians.  The assailants also set fire to residences, damaging 16. On Monday, 12/15/2008 in the same area, two of the kidnap victims were killed. The Taliban claimed responsibility.",Armed Assault,Religious Figures/Institutions,,The target was a Muslim cleric.,Pakistan,Tehrik-i-Taliban Pakistan (TTP),Unknown Gun Type,11,3
2008,12,26,Gilgit-Baltistan,Gilgit,35.918091,74.289803,"12/26/2008: On Friday, unidentified militants ambushed the vehicle of a the Director of Agriculture Department, Abdul Wahid, on a road near Naikoi area, ten km from Gilgit, Northern Areas, Pakistan. The assailants opened fire from both sides of the road and killed Wahid, one of his associates, his wife and daughter and his driver. It is reported that his brother was also injured in the attack. The deceased director was reportedly on his way to office in the morning when his vehicle came under fire from both sides of the road in an apparently sectarian motivated but highly organised target killing. A senior Government official confirmed the deaths, saying at least three suspects had been arrested. No group has claimed responsibility for the attack.",Armed Assault,Government (General),Abdul Wahid,The vehicle of a senior government official,Pakistan,Unknown,Unknown Gun Type,5,1
2008,12,28,North-West Frontier Province,Shalbandi,34.500469,72.521992,"12/28/2008: On Sunday, a suicide car bomber detonated his vehicle outside a polling station set up in the Shal Bandai school in Shalbandi village in Buner, North West Frontier, Pakistan. A polling for by-elections for NA-28 constituency Buner was underway when the bomber rammed his explosive laden vehicle at the polling station of ANP candidate. The blast occurred about 90 minutes after polling had started. The blast killed 23 people and injured 16. Two policemen, a volunteer and five children were among the victims. Some of the deceased are identified as Ismail Khan, Nawab, Hazarat Rehman, constable Bahadar Zaib and Pervez Khan. The injured were rushed to the district headquarters hospital for treatment where the condition of some of the victims was stated to be in danger; while some of the critically injured were shifted to Peshawar and Mardan for proper treatment. The bomber was driving a Suzuki carry van. The front wall of the school and an adjoining market and were destroyed and a mosque and several houses were damaged. According to witnesses, the bomber was about 18 years old. The Swat unit of theTehrik-e-Taliban claimed responsibility for the attack and said that the attack had been carried out to avenge the killling of six members in the area four months ago.",Bombing/Explosion,Government (General),Shal Bandi School,A polling station in the Shal Bandi government school,Pakistan,Tehrik-i-Taliban Pakistan (TTP),Vehicle,24,16
2009,1,4,North-West Frontier Province,Dera Ismail Khan,31.82851,70.907234,"01/04/2009: On Sunday, in Dera Ismail Khan, North West Frontier, Pakistan, a 16 year-old suicide bomber targeted a police rescue vehicle responding to an earlier blast at the Polytechnic College. Ten people were killed and 21 were wounded. No damage or motive were reported. No group has claimed responsibility for the attack.",Bombing/Explosion,Police,Pakistan emergency response.,A police rescue vehicle was the target.,Pakistan,Unknown,Suicide (carried bodily by human being),11,21
2009,1,19,Federally Administered Tribal Areas,Mir Ali,32.969967,70.276797,"01/19/2009: On Monday, pro-Taliban militants killed six civilians on charges of spying for United States forces in Mir Ali, Federally Administered Tribal Areas, Pakistan. Two of the civilians were Afghan nationals while the remainder were from Pakistan. No group claimed responsibility for the attack.",Armed Assault,Private Citizens & Property,,Four civilians,Pakistan,Taliban,Unknown Gun Type,6,0
2009,1,26,North-West Frontier Province,Dera Ismail Khan,31.82851,70.907234,"01/26/2009: On Monday, a remote controlled bomb attached to a bicycle exploded near the main gate of the town hall in Dera Ismail Khan, North West Frontier, Pakistan. The bomb was targeting Khalifa Abdul Qayyum, a leader of Sipah-e-Sahaba Pakistan (SSP). Five people were killed in the attack and 10 injured, but Qayyum escaped unharmed.",Assassination,Government (General),,The Dera Ismail Khan town hall,Pakistan,Unknown,Remote Trigger,5,10
2009,2,5,Punjab,Dera Ghazi Khan,30.034319,70.639676,"02/05/2009: On Thursday evening, at 1835, in Dera Ghazi Khan, Punjab, Pakistan, a suicide bomber detonated an improvised explosive device targeting a Muslim religious procession, killing 32 civilians and wounding 48 others. There was no damage reported and no group claimed responsibility.",Bombing/Explosion,Private Citizens & Property,,Civilians,Pakistan,Unknown,Suicide (carried bodily by human being),33,48
2009,2,20,North-West Frontier Province,Dera Ismail Khan,31.82851,70.907234,"02/20/2009: On Friday, a suicide bomber detonated his device targetting a Shiite funeral procession in Dera Ismail Khan, North West Frontier, Pakistan. The blast killed 27 and wounded 65. The suicide bomber was dropped off by a motorcyclist and then ran among the mourners before detonating his explosives.",Bombing/Explosion,Unknown,,,,Unknown,Suicide (carried bodily by human being),27,65
2009,2,21,North-West Frontier Province,Dera Ismail Khan,31.82851,70.907234,"02/21/2009: On Saturday, four people were killed when a suicide vehicle-borne improvised explosive device exploded in Dera Ismail Khan, North West Frontier, Pakistan. No group has claimed responsibility.",Bombing/Explosion,Private Citizens & Property,,Civilians,Pakistan,Unknown,Vehicle,5,0
2009,3,2,Balochistan,Pishin,30.581926,66.998537,"03/02/2009: On Monday, a suicide bomber detonated his device at a girls' madrassa targeting Maulana Sherani, a senior leader of the Jamiat Ulema-e-Islam-Fazl (JUI-F), in Pishin, Balochistan, Pakistan. Six people were killed and 12 wounded. The government official was not harmed.  No group claimed responsibility. A second bomber was seen fleeing the scene following the explosion. Two suspects were arrested in connection with the blast.",Bombing/Explosion,Government (General),Pakistan Government,Government officials of the Jamiat Ulema-e-Islam-Fazl,Pakistan,Unknown,Suicide (carried bodily by human being),6,12
2009,3,3,Punjab,Lahore,31.554606,74.357158,"03/03/2009: On Tuesday at 0900, twelve unidentified militants attacked a bus carrying Sri Lankan cricket players to a match against Pakistan while they were traveling through a roundabout in Lahore, Punjab, Pakistan. The militants attacked with AK-47s, grenades, and rockets. Six security personnel were killed in the attack and eight of the Sri Lankan players were injured. No group has claimed responsibility. The terrorists travelled by rickshaw and taxi. Lashkar-e-Toiba is suspected of being behind the attack.",Bombing/Explosion,Private Citizens & Property,Sri Lankan Cricket Team,A bus carrying the Sri Lankan cricket team,Sri Lanka,Lashkar-e-Taiba (LeT),"Projectile (rockets, mortars, RPGs, etc.)",6,8
2009,3,11,North-West Frontier Province,Peshawar,34.009667,71.579994,"03/11/2009: On Wednesday, two unidentified militants forced their way into a house and detonated one of their suicide vests in Peshawar, North West Frontier, Pakistan. The militants and three others were killed in the explosion and two others were injured. No group has claimed responsibility.",Bombing/Explosion,Private Citizens & Property,,A house,Pakistan,Unknown,Suicide (carried bodily by human being),5,2
2009,3,16,Punjab,Rawalpindi,33.600399,73.043426,"03/16/2009: On Monday, in Pirwadhai in Rawalpindi, Punjab, Pakistan, a suicide bomber on a motorcycle exploded near a busy bus stand. Fifteen people were killed and 28 injured in the blast. A rescue response building was also damaged. No motive was reported and no group has claimed responsibility.",Bombing/Explosion,Transportation,,The bus station,Pakistan,Unknown,Vehicle,15,28
2009,3,26,Federally Administered Tribal Areas,Jandola,32.330271,70.118577,"03/26/2009: On Thursday, in Jandola, near Tank, North West Frontier, Pakistan, a Tehrik-e-Taliban Pakistan suicide bomber blew up outside a restaurant where Turkistan Bitani's fighters were eating. Twelve people were killed and 22 were injured in the attack as well as the restaurant was damaged. No motive was reported and the Tehrik-i-Taliban Pakistan claimed responsibility for the attack.",Bombing/Explosion,Terrorists/Non-State Militia,,Turkistan Bitani's fighters,Pakistan,Tehrik-i-Taliban Pakistan (TTP),Suicide (carried bodily by human being),12,22
2009,3,27,North-West Frontier Province,Jamrud,34.00161,71.381807,"03/27/2009: On Friday, near Jamrud, FATA, Pakistan, a suicide bomber detonated his explosives inside a mosque. At least 57 people were killed and 158 injured. Eighteen police officers and four paramilitary soldiers were killed in the blast. No motive was reported and government officials suspect Tehrik-e-Taliban Pakistan to be behind the attack.",Bombing/Explosion,Religious Figures/Institutions,,Worshipers at a mosque,Pakistan,Tehrik-i-Taliban Pakistan (TTP),Suicide (carried bodily by human being),57,158
2009,3,30,Punjab,Manawan,32.5539,72.131987,"03/30/2009:  On Monday morning, in Manawan, Punjab, Pakistan, between eight and 14 armed assailants, some wearing police uniforms, stormed the Manawan police training facility and began firing and throwing grenades indiscriminately at the parade field where hundreds of recruits were training. During the nearly eight hour siege, the assailants continued to fire with small weapons and detonated several improvised explosive devices (IED), and also held approximately 400 officers and trainees hostage. At least three of the attackers detonated the IEDs they were carrying when the police closed-in on them. At least 11 police officers and recruits, one civilian were killed, and at least 90 officers and recruits were injured. The facility also suffered unsubstantiated damage. The Tehrik-i-Taliban Pakistan (TTP) claimed responsibility.",Armed Assault,Police,Pakistan Police,Police training facility.,Pakistan,Tehrik-i-Taliban Pakistan (TTP),Other Explosive Type,12,90
2009,4,4,Islamabad Capital Territory,Islamabad,33.708988,73.053857,"04/04/2009: On Saturday evening at approximately 1940, in Islamabad, Pakistan, a suicide bomber detonated an improvised explosive device targeting a military camp, killing eight soldiers, one civilian, wounding seven civilians, five soldiers, and damaging the military camp. No group claimed responsibility for the attack.",Bombing/Explosion,Military,,A military camp,Pakistan,Unknown,Suicide (carried bodily by human being),10,12
2009,4,5,Punjab,Chakwal,32.930357,72.855476,"04/05/2009: On Sunday afternoon at 1215, a Tehrik-e-Taliban Pakistan Fidayeen-e-Islam suicide bomber detonated an improvised explosive device targeting a gathering at the entrance to a Shiite mosque, killing 24 and wounding 140, in Chakwal, Punjab, Pakistan.",Bombing/Explosion,Religious Figures/Institutions,,A Shiite mosque,Pakistan,Tehrik-i-Taliban Pakistan (TTP),Suicide (carried bodily by human being),25,140
2009,4,25,North-West Frontier Province,Dir,35.202293,71.873006,"04/25/2009: On Saturday, in the Luquman Banda area of Dir, North West Frontier, Pakistan, a bomb, which children mistook for a football, killed thirteen children and wounded four others, when they discovered it outside a local primary school. No damage or motive were reported. No group has claimed responsibility.",Bombing/Explosion,Educational Institution,,A local primary school,Pakistan,Unknown,Other Explosive Type,13,4
2009,4,26,Federally Administered Tribal Areas,Datta Khel,32.906013,69.748012,"04/26/2009: On Sunday, Datta Khel, North Waziristan tribal region, Pakistan a grenade planted in a car exploded destroying the car, killing four children and their parents and injuring four other children. No group has claimed responsibility. Authorities suspect the Taliban was responsible for the attack.",Bombing/Explosion,Private Citizens & Property,,A car carrying eight children and their parents,Pakistan,Tehrik-i-Taliban Pakistan (TTP),Vehicle,6,4
2009,5,13,North-West Frontier Province,Mingora,34.77436,72.356922,"05/13/2009: On Wednesday, in Mingaora, North West Frontier, Pakistan, assailants assaulted and killed five civilians. The victims were beheaded. No damage or motive were reported and no group claimed responsibility.",Armed Assault,Private Citizens & Property,,Civilians,Pakistan,Unknown,Knife or Other Sharp Object,5,0
2009,5,16,North-West Frontier Province,Peshawar,34.009667,71.579994,"05/16/2009: On Saturday afternoon at about 1420, in Kashkal, Peshawar, North West Frontier, Pakistan, outside an internet cafe and a car dealer on City Circular Road, assailants detonated a remote-controlled vehicle-borne improvised explosive device, killing 13 civilians, injuring 33 others, damaging at least 17 vehicles, 15 shops, and several nearby residences. There was no motive reported and no group claimed responsibility.",Bombing/Explosion,Business,,Civilians,Pakistan,Unknown,Vehicle,13,33
2009,5,22,North-West Frontier Province,Peshawar,34.009667,71.579994,"05/22/2009: On Friday, at Tasveer Mahal Cinema on Cinema Road near Kabuli market in Peshawar, North West Frontier Province, Pakistan, seven people were killed and wounded 80 others when a car bomb exploded. The cinema house, nearby buildings and a number of vehicles were damaged in the explosion. No motive was reported and no group has claimed responsibility.",Bombing/Explosion,Business,TasveerMahal Cinema,A cinema house,Pakistan,Unknown,Vehicle,7,80
2009,5,27,Punjab,Lahore,31.554606,74.357158,"05/27/2009: On Wednesday, gunmen reportedly fired on guards before detonating a suicide car bomb at the Inter-Services Intelligence and the Lahore Police headquarters in Lahore, Punjab, Pakistan.  Around 30 people were killed, over 200 injured, and both buildings were damaged in the attack. Hakimullah Mehsud, a commander of the Pakistan Taliban claimed responsibility for the attack and said it had been carried out in revenge for the ongoing military operation to force militants out of the Swat valley.",Bombing/Explosion,Government (General),Inter-Services Intelligence (ISI),The Inter-Services Intelligence,Pakistan,Tehrik-i-Taliban Pakistan (TTP),Vehicle,30,200
2009,5,28,North-West Frontier Province,Peshawar,34.009667,71.579994,"05/28/2009: On Thursday evening at 1830, in Peshawar, North West Frontier, Pakistan, at the Kabari Bazaar, assailants detonated a vehicle-borne improvised explosive device (VBIED).  Two minutes later and a few steps away at the Qissa Khawani Bazaar, assailants detonated a second VBIED.  When the police arrived at the scene, armed assailants, taking shelter on a rooftop and inside a hotel, began firing at the police and public in general.  Authorities reported that the attacks killed five civilians, injured over 70 civilians and children, destroyed tons of vehicles, and damaged the markets. Taliban was held responsible, two militants were killed and two arrested by security forces.",Bombing/Explosion,Private Citizens & Property,,Civilians,Pakistan,Tehrik-i-Taliban Pakistan (TTP),Vehicle,7,70
2009,5,29,Balochistan,Quetta,30.182125,67.000517,"05/29/2009: On Friday night at 2300, unidentified attackers aboard a motorcycle opened fire on a customer service center along Kalat street, Jail road in Quetta, Balochistan, Pakistan. Five civilians were killed in the attack, identified as Muhammad Zoheb, Abdul Khaliq, Arshad Mahmood, Muhammad Asif and Nilam Bibi. No group claimed responsibility.",Armed Assault,Business,,Civilians,Pakistan,Unknown,Unknown Gun Type,5,0
2009,6,5,North-West Frontier Province,Dir,35.202293,71.873006,"06/05/2009: On Friday, a suicide bomber wearing an explosive vest entered a Sunni Muslim mosque in the village of Haya Gai and detonated his explosives after worshippers confronted him as being an outsider in Upper Dir, North West Frontier, Pakistan. Thirty people were killed and around 60 were injured. The Taliban is suspected to be behind the incident.",Bombing/Explosion,Religious Figures/Institutions,,Civilians worshipping in a Sunni Mosque,Pakistan,Tehrik-i-Taliban Pakistan (TTP),Suicide (carried bodily by human being),31,60
